lr_path,hr_path,dataset,split,scale
data/processed/x4/train/LR/DIV2K_0001.png,data/processed/x4/train/HR/DIV2K_0001.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0002.png,data/processed/x4/train/HR/DIV2K_0002.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0003.png,data/processed/x4/train/HR/DIV2K_0003.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0004.png,data/processed/x4/train/HR/DIV2K_0004.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0005.png,data/processed/x4/train/HR/DIV2K_0005.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0006.png,data/processed/x4/train/HR/DIV2K_0006.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0007.png,data/processed/x4/train/HR/DIV2K_0007.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0008.png,data/processed/x4/train/HR/DIV2K_0008.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0009.png,data/processed/x4/train/HR/DIV2K_0009.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0010.png,data/processed/x4/train/HR/DIV2K_0010.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0011.png,data/processed/x4/train/HR/DIV2K_0011.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0012.png,data/processed/x4/train/HR/DIV2K_0012.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0013.png,data/processed/x4/train/HR/DIV2K_0013.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0014.png,data/processed/x4/train/HR/DIV2K_0014.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0015.png,data/processed/x4/train/HR/DIV2K_0015.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0016.png,data/processed/x4/train/HR/DIV2K_0016.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0017.png,data/processed/x4/train/HR/DIV2K_0017.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0018.png,data/processed/x4/train/HR/DIV2K_0018.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0019.png,data/processed/x4/train/HR/DIV2K_0019.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0020.png,data/processed/x4/train/HR/DIV2K_0020.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0021.png,data/processed/x4/train/HR/DIV2K_0021.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0022.png,data/processed/x4/train/HR/DIV2K_0022.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0023.png,data/processed/x4/train/HR/DIV2K_0023.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0024.png,data/processed/x4/train/HR/DIV2K_0024.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0025.png,data/processed/x4/train/HR/DIV2K_0025.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0026.png,data/processed/x4/train/HR/DIV2K_0026.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0027.png,data/processed/x4/train/HR/DIV2K_0027.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0028.png,data/processed/x4/train/HR/DIV2K_0028.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0029.png,data/processed/x4/train/HR/DIV2K_0029.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0030.png,data/processed/x4/train/HR/DIV2K_0030.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0031.png,data/processed/x4/train/HR/DIV2K_0031.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0032.png,data/processed/x4/train/HR/DIV2K_0032.png,DIV2K,train,4
data/processed/x4/train/LR/DIV2K_0033.png,data/processed/x4/train/HR/DIV2K_0033.png,DIV2K,train,4
