dataset,image,psnr,ssim,time
Set5,Set5_baby,31.85182483147441,0.8755136962150178,0.3102063999976963
Set5,Set5_bird,30.19186458332183,0.901731459274183,0.024638700000650715
Set5,Set5_butterfly,23.162887677503488,0.8124257225072501,0.018164699999033473
Set5,Set5_head,29.5718975516589,0.734673722886968,0.03330390000337502
Set5,Set5_woman,27.192226978907104,0.8839770261107619,0.02100060000520898
Set14,Set14_baboon,20.576984336096626,0.4801650893238309,0.01947259999724338
Set14,Set14_barbara,24.239820334444193,0.714935446437662,0.04443819999869447
Set14,Set14_bridge,23.71714985960113,0.6368412448984313,0.01120009999431204
Set14,Set14_coastguard,24.31327210558476,0.5389930702040697,0.015996200003428385
Set14,Set14_comic,21.167413513547253,0.6866047081801817,0.032828600000357255
Set14,Set14_face,29.53234902483684,0.7312955377923288,0.007271599999512546
Set14,Set14_flowers,25.023611546420085,0.7650354213967075,0.015642800004570745
Set14,Set14_foreman,27.84097045590692,0.8862212086080431,0.015360500001406763
Set14,Set14_lenna,29.563010317256378,0.7865148508677898,0.010900900000706315
Set14,Set14_man,25.436081146309483,0.7292455889413336,0.01053430000320077
Set14,Set14_monarch,28.376016723395768,0.9084089686933013,0.01831579999998212
Set14,Set14_pepper,28.187645628058995,0.7847835360745644,0.01224279999587452
Set14,Set14_ppt3,22.221607564244298,0.8587124102434786,0.018031399995379616
Set14,Set14_zebra,24.862180982321576,0.7669461650324213,0.016359799999918323
BSD100,BSD100_101085,22.208192416866478,0.5540598376130649,0.016140500003530178
BSD100,BSD100_101087,26.304350232733263,0.79312386634145,0.007158100001106504
BSD100,BSD100_102061,24.498320813710272,0.7816904731584344,0.00845409999601543
BSD100,BSD100_103070,28.883905946986182,0.8370251385018236,0.05398579999746289
BSD100,BSD100_105025,24.64798126366255,0.7053429636409039,0.016741599996748846
BSD100,BSD100_106024,31.234273151922764,0.8774029428906637,0.020060599999851547
BSD100,BSD100_108005,24.50878507536373,0.7161318823196737,0.05494819999876199
BSD100,BSD100_108070,21.642415527222457,0.5709635366027143,0.05438890000368701
BSD100,BSD100_108082,25.78773934141289,0.7710258706421818,0.04937419999623671
BSD100,BSD100_109053,27.665151386253658,0.789658363132359,0.06888710000202991
BSD100,BSD100_119082,22.037062605353945,0.6594259025312112,0.06171880000329111
BSD100,BSD100_12084,25.718618561146435,0.7194258140803367,0.052941900001314934
BSD100,BSD100_123074,28.38824322173266,0.8061911265050772,0.05995309999707388
BSD100,BSD100_126007,26.95345354021086,0.788839792606181,0.057054800003243145
BSD100,BSD100_130026,23.54701434816188,0.6602890185898488,0.05602349999389844
BSD100,BSD100_134035,22.403409249641662,0.719629150112428,0.04558749999705469
BSD100,BSD100_14037,31.81002378999584,0.8626013400965094,0.06492940000316594
BSD100,BSD100_143090,30.16501209898417,0.8693473017100927,0.05325119999906747
BSD100,BSD100_145086,23.857666054253585,0.6836934293299799,0.05180649999965681
BSD100,BSD100_147091,24.107620190702917,0.7717583030466026,0.06693909999739844
