dataset,image,psnr,ssim,time
Set5,Set5_baby,30.980949185705487,0.8573567119333347,0.22963650000019697
Set5,Set5_bird,28.465894568190112,0.8602461571606169,0.008217699999931938
Set5,Set5_butterfly,22.062263621860794,0.7568983739942293,0.008237600000029488
Set5,Set5_head,29.035083844789533,0.7127588338422889,0.007852699999602919
Set5,Set5_woman,25.92527639563462,0.8493740440778635,0.007861399999910645
Set14,Set14_baboon,20.362249458962552,0.4460630491880968,0.022572600000330567
Set14,Set14_barbara,23.85329675852038,0.6850528527176886,0.04123639999988882
Set14,Set14_bridge,23.465716484373207,0.6106049986900582,0.02399890000015148
Set14,Set14_coastguard,24.068892511609246,0.5163927330167367,0.01091420000011567
Set14,Set14_comic,20.612786580536554,0.6410566256259341,0.00973599999997532
Set14,Set14_face,29.011450080277296,0.7098032034165801,0.006992400000399357
Set14,Set14_flowers,24.16675539298126,0.7253361615375381,0.01711879999993471
Set14,Set14_foreman,26.810846892486218,0.8564989032104456,0.009568100000251434
Set14,Set14_lenna,28.70843448971207,0.7654831661829418,0.023244900000008784
Set14,Set14_man,24.907666812312996,0.7017875566572069,0.023640400000203954
Set14,Set14_monarch,27.17726617148262,0.8859466951791054,0.03604819999964093
Set14,Set14_pepper,27.26958773511084,0.7578425859729615,0.022760099999686645
Set14,Set14_ppt3,21.191929789447208,0.8317402955770667,0.037330499999825406
Set14,Set14_zebra,23.948462833588245,0.7302960117399273,0.02076870000018971
BSD100,BSD100_101085,21.965891088851308,0.5281060808130075,0.015345700000125362
BSD100,BSD100_101087,25.846311597497433,0.7768499744768892,0.014656599999852915
BSD100,BSD100_102061,24.17769882147802,0.7657149178336352,0.01441660000000411
BSD100,BSD100_103070,28.37698152543091,0.8175432935856627,0.01509680000026492
BSD100,BSD100_105025,24.337519841677285,0.684052393551099,0.01395009999987451
BSD100,BSD100_106024,30.560235593666146,0.8674841790107338,0.014582900000277732
BSD100,BSD100_108005,24.040075128260796,0.6856100624035993,0.015145599999868864
BSD100,BSD100_108070,21.39865098363296,0.541088159828175,0.015306499999951484
BSD100,BSD100_108082,25.26512552482739,0.7497732857547156,0.01434770000014396
BSD100,BSD100_109053,27.248551035417098,0.769814813906952,0.013729400000102032
BSD100,BSD100_119082,21.469929919460427,0.6244253579391126,0.014673199999833741
BSD100,BSD100_12084,25.012523812861332,0.6775914993883007,0.01468250000016269
BSD100,BSD100_123074,27.96037832492737,0.785999736750648,0.014642900000126247
BSD100,BSD100_126007,26.42578640661707,0.7678842096735377,0.014936900000066089
BSD100,BSD100_130026,23.274264716704558,0.6365742230140995,0.015044599999782804
BSD100,BSD100_134035,21.737494690874783,0.6767468378868159,0.01488759999983813
BSD100,BSD100_14037,31.226899235451935,0.8471769628130886,0.015221300000121119
BSD100,BSD100_143090,29.77523201649637,0.8575193204153478,0.013905499999964377
BSD100,BSD100_145086,23.37081304067806,0.654182684433592,0.014673399999992398
BSD100,BSD100_147091,23.58777596014579,0.7497277135841198,0.014586599999802274
BSD100,BSD100_148026,19.83873404720885,0.5884246147118146,0.066486299999724
BSD100,BSD100_148089,21.588075546631146,0.5583152506640022,0.01899809999986246
BSD100,BSD100_156065,23.313753544703136,0.5350027119216422,0.01863039999989269
BSD100,BSD100_157055,24.103227154157672,0.7306924437805561,0.020908800000142946
BSD100,BSD100_159008,24.831800974138947,0.7706359860339003,0.020641900000100577
BSD100,BSD100_160068,25.011768460874663,0.8093272413590015,0.021797200000037265
BSD100,BSD100_16077,25.50397838255362,0.6903976153393341,0.022600599999805127
BSD100,BSD100_163085,27.368893955680488,0.7735147597819007,0.022178899999744317
BSD100,BSD100_167062,28.011860435829867,0.8371655135191882,0.02298350000000937
BSD100,BSD100_167083,18.305731862670036,0.48093456877459406,0.022481099999822618
BSD100,BSD100_170057,27.492624209092806,0.7769386212117322,0.024308000000019092
BSD100,BSD100_175032,19.375488953214134,0.39429642482319,0.026000400000157242
BSD100,BSD100_175043,23.174352017798498,0.6368064587157939,0.02421249999997599
BSD100,BSD100_182053,22.310256653985473,0.7125287062084,0.04932940000026065
BSD100,BSD100_189080,30.67284171955174,0.8425677747894023,0.05753779999986364
BSD100,BSD100_19021,24.67979856538228,0.6892017978907322,0.05035099999986414
BSD100,BSD100_196073,26.33556022151265,0.4514593115297405,0.05315909999990254
BSD100,BSD100_197017,25.933400635946562,0.6661021955746173,0.020291899999847374
BSD100,BSD100_208001,26.20326701922203,0.6683571367766885,0.01993399999992107
BSD100,BSD100_210088,28.77558815950518,0.8670720499644387,0.02025309999999081
BSD100,BSD100_21077,24.158464130879903,0.6723910736382331,0.01941369999985909
BSD100,BSD100_216081,23.55927375579684,0.6529012609462564,0.01955950000001394
BSD100,BSD100_219090,24.42455930825161,0.7000461535702325,0.01954669999986436
BSD100,BSD100_220075,24.87314442475181,0.8195308973261545,0.01998760000014954
BSD100,BSD100_223061,22.79079286351514,0.6305257629100339,0.019977400000243506
BSD100,BSD100_227092,31.834568539427007,0.8264130217743184,0.01945179999984248
